代码,名称,现价,涨跌幅(%),涨跌,涨速(%),换手(%),量比,振幅(%),成交额,流通股,流通市值,市盈率
605258,协和电子,25.97,10.00,2.36,0.00,1.79,1.11,--,4094.43万,8800.00万,22.85亿,42.98
600101,明星电力,14.32,9.98,1.30,0.00,24.32,0.94,11.52,13.88亿,4.21亿,60.35亿,21.61
603709,中源家居,14.89,9.97,1.35,0.74,6.69,3.13,17.58,8905.28万,9600.00万,14.29亿,58.99
000564,供销大集,2.10,9.95,0.19,0.00,3.23,1.25,13.09,9.95亿,151.82亿,318.82亿,亏损
600830,香溢融通,6.64,9.93,0.60,0.00,3.95,3.02,11.26,1.14亿,4.54亿,30.17亿,35.57
600119,长江投资,6.42,9.93,0.58,5.59,2.61,1.92,13.01,5643.50万,3.65亿,23.45亿,亏损
300795,米奥会展,22.18,9.91,2.00,0.05,5.17,4.30,9.66,1.51亿,1.33亿,29.51亿,264.25
000692,惠天热电,3.34,9.87,0.30,0.00,5.42,0.84,11.51,9322.40万,5.33亿,17.80亿,亏损
600162,香江控股,1.91,9.77,0.17,0.00,4.04,3.27,10.92,2.46亿,32.68亿,62.43亿,62.56
600653,申华控股,1.69,9.74,0.15,0.00,2.72,0.97,5.20,8866.01万,19.46亿,32.89亿,亏损
688192,迪哲医药-U,42.38,9.71,3.75,0.21,3.53,3.65,13.38,1.83亿,1.23亿,52.16亿,亏损
002198,嘉应制药,7.00,9.55,0.61,0.00,5.34,5.87,10.64,1.86亿,5.08亿,35.53亿,171.38
301339,通行宝,22.09,9.52,1.92,0.00,24.04,3.58,9.42,6.18亿,1.20亿,26.52亿,49.90
870299,灿能电力,7.42,9.28,0.63,0.00,25.04,1.28,14.58,5350.61万,2946.27万,2.19亿,47.40
300817,双飞集团,14.69,9.14,1.23,0.69,21.14,3.20,19.32,2.94亿,9936.69万,14.60亿,49.07
300859,西域旅游,31.78,9.06,2.64,0.00,8.50,1.80,19.90,4.12亿,1.55亿,49.26亿,亏损
300831,派瑞股份,12.55,9.04,1.04,0.16,12.08,1.31,13.29,2.65亿,1.84亿,23.15亿,136.94
300882,万胜智能,18.88,9.01,1.56,0.00,8.55,1.18,14.55,4.14亿,2.66亿,50.28亿,30.93
600737,中粮糖业,11.03,8.78,0.89,0.00,6.13,3.36,10.06,14.15亿,21.39亿,235.91亿,13.39
301192,泰祥股份,18.21,8.65,1.45,0.72,10.74,1.03,12.53,8808.07万,4786.88万,8.72亿,47.92
600969,郴电国际,6.50,8.51,0.51,0.00,19.35,1.00,12.86,4.44亿,3.70亿,24.05亿,780.47
688722,同益中,12.78,8.49,1.00,-0.47,11.08,3.72,12.99,1.79亿,1.28亿,16.34亿,40.91
300593,新雷能,11.16,8.46,0.87,0.09,8.44,2.11,13.12,3.99亿,4.49亿,50.09亿,亏损
300163,ST先锋,1.16,8.41,0.09,0.00,9.75,1.71,12.15,4573.99万,4.17亿,4.83亿,亏损
603530,神马电力,28.41,8.02,2.11,-0.04,4.06,1.04,10.76,4.78亿,4.30亿,122.16亿,48.17
605177,东亚药业,24.40,7.96,1.80,6.27,1.27,1.00,9.65,3305.97万,1.15亿,28.00亿,29.12
301091,深城交,28.71,7.93,2.11,0.04,14.73,2.15,14.81,8.09亿,1.93亿,55.31亿,亏损
300777,中简科技,27.05,7.90,1.98,0.00,3.43,3.32,9.25,3.85亿,4.24亿,114.62亿,50.19
605117,德业股份,72.20,7.71,5.17,0.04,1.87,1.65,10.47,7.89亿,6.02亿,434.73亿,25.11
688717,艾罗能源,61.50,7.67,4.38,-0.08,10.42,1.79,8.32,1.16亿,1855.94万,11.41亿,72.44
301289,国缆检测,44.64,7.62,3.16,-0.02,19.79,2.19,9.35,2.22亿,2534.99万,11.32亿,53.37
002452,长高电新,7.65,7.59,0.54,0.13,6.09,2.94,12.94,2.31亿,5.16亿,39.47亿,39.92
837748,路桥信息,15.11,7.54,1.06,0.00,15.90,4.24,9.11,3163.11万,1343.60万,2.03亿,亏损
002373,千方科技,9.80,7.46,0.68,-0.10,5.05,4.05,7.35,6.75亿,13.78亿,135.00亿,亏损
836395,朗鸿科技,7.00,7.36,0.48,0.00,3.53,2.76,9.36,1112.69万,4629.18万,3.24亿,25.49
